report_date	category	revenue
25/06/2022	Ethnic Dress	12402.0
25/06/2022	Saree	2203.0
25/06/2022	Set	887165.0
25/06/2022	Top	89534.0
25/06/2022	Western Dress	287810.0
25/06/2022	kurta	478831.0
26/06/2022	Blouse	3935.0
26/06/2022	Bottom	6312.0
26/06/2022	Dupatta	915.0
26/06/2022	Ethnic Dress	13860.0
26/06/2022	Saree	1544.0
26/06/2022	Set	911508.0
26/06/2022	Top	125167.0
26/06/2022	Western Dress	331931.0
26/06/2022	kurta	478664.0
27/06/2022	Blouse	6048.0
27/06/2022	Bottom	5514.0
27/06/2022	Dupatta	915.0
27/06/2022	Ethnic Dress	14133.0
27/06/2022	Saree	885.0
27/06/2022	Set	937388.0
27/06/2022	Top	132254.0
27/06/2022	Western Dress	365314.0
27/06/2022	kurta	465746.0
28/06/2022	Blouse	7108.0
28/06/2022	Bottom	5596.0
28/06/2022	Dupatta	915.0
28/06/2022	Ethnic Dress	15507.0
28/06/2022	Saree	1566.0
28/06/2022	Set	828046.0
28/06/2022	Top	121283.0
28/06/2022	Western Dress	323995.0
28/06/2022	kurta	463997.0
29/06/2022	Blouse	7186.0
29/06/2022	Bottom	2520.0
29/06/2022	Ethnic Dress	10599.0
29/06/2022	Saree	1566.0
29/06/2022	Set	566661.0
29/06/2022	Top	74238.0
29/06/2022	Western Dress	208384.0
29/06/2022	kurta	316683.0
30/06/2022	Blouse	3601.0
30/06/2022	Bottom	1554.0
30/06/2022	Ethnic Dress	8616.0
30/06/2022	Saree	1566.0
30/06/2022	Set	248080.0
30/06/2022	Top	41540.0
30/06/2022	Western Dress	87136.0
30/06/2022	kurta	167777.0
01/07/2022	Blouse	926.0
01/07/2022	Ethnic Dress	690.0
01/07/2022	Set	45205.0
01/07/2022	Top	9314.0
01/07/2022	Western Dress	24044.0
01/07/2022	kurta	35416.0
